Name,ID,Primary document,Secondary documents,Notes,SOP Pages
Agency Case #,1040,"FHA Case Assignment number document for FHA,  VA Case assignment for VA","HUD-92900LT FHA Loan Transmittal, VA Loan Summary","Only for FHA transactions, verify with attached documents; Match against attached FHA Case assignment document; Verify/Update as per attached VA Case assignment","46,47,48"
Also Known As (AKA),,Fraud report,"Credit report, Driving license, SSN Case number (if given)",,
Appraised Value,356,Appraisal Report (if applicable),"HUD-92900LT FHA Loan Transmittal (for FHA), VA Loan Summary (For VA), Trasmittal Summary form (for Conventional)",,"35,53,62,81"
APR,799,Initial CD,last disclosed COC CD,"Check if APR increased by more than 0.125% Initial CD / last disclosed COC CD or not. If APR increases more than 0.125%, additional 3 day waiting period required before closing","79,96"
Borrower DOB,1402,Driving license / Passport (if given),Credit report,Verify DOB matches attached documents,20
Borrower First Name,4000,Driving license / Passport (if given),"Underwriting (DU / LP), Purchase Contract (for Purchase), Title report (for Refinance)","Must be exact match , if not match then No Hardstop but alert should be given","20,46,101"
Borrower Last Name,4002,Driving license / Passport (if given),"Underwriting (DU / LP), Purchase Contract (for Purchase), Title report (for Refinance)","Must be exact match , if not match then No Hardstop but alert should be given",20
Borrower Marital Status,52,Initial 1003,,Verify marital status matches Initial 1003,"20,23"
Borrower Sex Male/Female,471,Driving license / Passport (if given),,Required for vesting completion,23
Borrower SSN,65,SSN Card (if given),"SSN Verification, Credit report",Check SSN card ; Verify SSN through SSN Verification document or Credit report,"16,20,21"
Borrower Vesting Borr 1 Corp/Trust Name,1859,Trust Document / Trust Certificate,Title Company (if refinance),"Only when file is approved for Trust Docs; Check trust name matches attached trust document, update Trust 2 if multiple trusts exist; ","23,25,40"
Borrower Vesting Borr 1 Org State,1860,Trust Document / Trust Certificate,,Verify Org. State matches location shown on trust document,25
Borrower Vesting Borr 1 Org Type,1861,Trust Document / Trust Certificate,,Usually selected as 'An Inter Vivos Trust',25
Closing Date,748,NOTE Date,CD acknowledgement date ; Loan file ; COC CD,Document date must match closing/note date; Closing must be at least 3 business days after CD acknowledgement; Verify closing date to properly calculate subsequent dates; Reference point for calculating first payment date; Calculate business days between COC CD receipt and actual closing date,"53,54,60,79"
Closing Disclosure - MIC Reference,CD1.X71,"FHA Case Assignment number document for FHA,  VA Case assignment for VA & MI Certificate for Conventional loans when applicable",,FHA/VA Case number or Mortgage Certificate number for Conventional >80% as applicable,81
Closing Disclosure - Seller Names,CD1.X2,Encompass Tools > File Contacts > Seller,"Purchase Contract , Title report, Estimated HUD settlement statement",Check that Seller address is updated by Processing team under Tools tab with File Contacts sub folder; Comes from File Contacts under Tools tab,"26,81"
Closing Docs Borr 1 Org Trust Date or Year,2554,Trust Document / Trust Certificate,Trust Agreement,Verify trust date matches the date shown on trust document; Trust vesting must reflect Amended/restated dates along with Original Trust date,25
Co-Borrower DOB,1403,Driving license / Passport (if given),Credit report,Verify DOB matches attached documents,20
Co-Borrower Marital Status,84,Initial 1003,,Verify marital status matches Initial 1003,20
Co-Borrower SSN,97,SSN Card (if given),"SSN Verification, Credit report",Check SSN card ; Verify SSN through SSN Verification document or Credit report,"20,21"
Co-Borrower First Name,4004,Driving license / Passport (if given),"Underwriting (DU / LP), Purchase Contract (for Purchase), Title report (for Refinance)","Must be exact match , if not match then No Hardstop but alert should be given",20
Co-Borrower Last Name,4006,Driving license / Passport (if given),"Underwriting (DU / LP), Purchase Contract (for Purchase), Title report (for Refinance)","Must be exact match , if not match then No Hardstop but alert should be given",20
Escrow Co Escrow #,186,Title report,"Estimated HUD Settlement Statement, Closing Protection Letter",Check Escrow Case number matches Prelim Title report; Match File# with Escrow order number from Title report,"33,80"
Expenses Proposed Haz Ins,230,Evidence of Insurance,"Invoices >> Evidence of Insurance, HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",Verify monthly amounts match between HOI Policy,"61,83"
Expenses Proposed Mtg Ins,232,"HUD-92900LT FHA Loan Transmittal, Transmittal Summary",Underwriting (DU / LP),,61
Expenses Proposed Taxes,1405,Tax Summary,"HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",Must be confirmed by assigned underwriter / Processor if discrepancy found,63
Fees Appraisal Fee Borr,641,Appraisal Invoice,Initial CD / COC CD,803-835 series - verify against multiple source documents,67
Fees Bona Fide Indicator,NEWHUD.X1067,Must checked when applicable,,Required when discount or origination points exist on any loan,67
Fees Credit Report Borr,640,Credit Invoice,Initial CD / COC CD,803-835 series - verify against multiple source documents,67
Fees Flood Ins Per Mo,235,Flood Insurance,"Invoices >> Flood Insurance, HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",Required to be impounded whether general impound is Yes or No; Auto-fills from Aggregate Escrow Account form completion,"63,69"
Fees Flood Ins Premium Borr,643,Flood Insurance,"Invoices >> Flood Insurance, HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",Non-APR fee - match to flood insurance invoice when applicable; Auto-fills from Aggregate Escrow Account form when applicable,"68,69"
Fees Hazard Ins Premium Borr,642,Evidence of Insurance,"Invoices >> Evidence of Insurance, HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",Verify monthly amounts match between HOI Policy,"34,35,69"
Fees Loan Origination Fee Borr,454,Initial Closing disclosure / COC CD,,"Verify against attached Initial/COC CD, If does not match, throw an alert to validate","64,65"
Fees MI Applic Fee APR,SYS.X116,Must marked as APR,,,58
Fees Mortgage Ins # of Mos,1296,Must be blank,,"Start with first payment date, enter 1 for 12 months, stop at month prior to initial first payment date for following year; Ensure Monthly Mortgage Insurance is checked as APR Fee (exception to other fees being Non-APR); Re-check mortgage insurance due dates and cushion months in Aggregate Set Up","62,70"
Fees Process Fee Borr,1621,"LE, Initial CD, COC CD",,"Verify against attached LE's, Initial/COC CD",64
Hazard Ins Co Contact,VEND.X163,Evidence of Insurance,,Can be blank if no information is provided on HOI,34
Hazard Insurance Agent Email,VEND.X164,Evidence of Insurance,,Can be blank if no information is provided on HOI,
Hazard Insurance Company Name,L252,Evidence of Insurance,,Cross-reference with attached Hazard Insurance policy document,34
Loan Amount,1109,"HUD-92900LT FHA Loan Transmittal, Transmittal Summary",Underwriting (DU / LP),Compare base loan amount between mentioned documents,"33,82"
Loan Officer,317,Mavent report under Tools >> Compliance Review,,Check completeness and accuracy against Mavent report that NMLS must passed in Mavent report,27
Lock Expiration Date,762,Last Loan Estimate,,"If Encompass and LE don't match and lock is extended, confirm with processor about extension fees",53
LTV,353,"HUD-92900LT FHA Loan Transmittal, Transmittal Summary",Underwriting (DU / LP),"Verify LTV is greater than 80% for Conventional loans requiring MI section updates; Check LTV percentage in Underwriter Summary; If LTV >80%, impounds become mandatory except CA up to 90% LTV","57,60,63"
Negative Amortization,CD4.X2,"Must auto check as ""do not have a negative amortization feature""",,Always needs to be checked as 'do not have a negative amortization feature' irrespective of any loan types,94
NMLS Loan Originator ID,3238,Mavent report under Tools >> Compliance Review,Encompass Tools > File Contacts > Lender,Check completeness and accuracy against Mavent report that NMLS must passed in Mavent report,"27,31"
Parcel Number,1894,Tax Summary,Title Report,,
Partial Payments - Apply Partial Payment,CD4.X3,"Must auto check as ""does not accept any partial payments""",,Always needs to be checked as 'does not accept any partial payments' irrespective of loan type,94
Prior Endorsement Date,3432,FHA Case refinance authorization (when applicable),,,
SettlementAgent Name,CD5.X55,File Contacts,Title report,Check 'Copy to Settlement Agent' box only when Settlement & Title Company are the same; Check that settlement agent name is accurate; Information from File Contacts updated by Processing team,"32,80,97"
STD Final Seller Credits,CD3.X108,Purchase agreement / Agreement addendum,,Add if any other credits to seller per UW's Condition or Agreement addendum,90
Subject Property Address,11,"USPS, Tax Summary","Purchase contract, Title report, Evidence of Insurance, Appraisal report, Initial 1003, Closing Disclosure, Underwriting (DU / LP)  ",,"35,81,94"
Subject Property County,13,Tax Summary,"Title report, Appraisal report",Verify county matches subject property location,28
Subject Property Purchase Price,136,Purchase agreement / Agreement addendum,"Last CD, HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",,"53,62,81"
Subject Property State,14,"USPS, Tax Summary","Purchase contract, Title report, Evidence of Insurance, Appraisal report, Initial 1003, Closing Disclosure, Underwriting (DU / LP)  ",,"23,28,40,54,62,63,101"
Subject Property Type,1041 | 1553 | HMDA.X11,Appraisal report,"HUD-92900LT FHA Loan Transmittal, Transmittal Summary, Underwriting (DU / LP)",,42 ; 45 ; 56
Title Report Date,L362,Title Report,,,
Total Loan Amount,2,"HUD-92900LT FHA Loan Transmittal, Transmittal Summary","Underwriting (DU / LP), Last disclosed Closing Disclosure",Compare Total loan amount between mentioned documents,35
Servicer,VEND.X184,,,"Default to All Western Mortgage, Inc.",
Address,VEND.X179,,,"8345 West Sunset Road, Suite 380",
City,VEND.X180,,,Las Vegas,
State,VEND.X181,,,NV,
Zip,VEND.X182,,,89113,
Phone,VEND.X185,,,702-369-0905,
